0_o;1;0
0000;1;0
001;1;0
007jet;1;0
03it49;1;0
07hc420;1;0
0nwards;1;0
0x69;1;0
0xFF;1;0
0xG;1;0
0zkar;1;0
10010110;1;0
100KG;1;0
10goto10;1;0
10wattmindtrip;1;0
1101;1;0
111;1;0
11to3;1;0
123;1;0
1234;1;0
123quatre;1;0
13guppies;1;0
14YearOldCuriousBoy2;1;0
170;1;0
1-800-RUGS;1;0
180proof;1;0
1anthony1;1;0
1zartx0;1;0
2112.snowdog;1;0
22.;1;0
234234;1;0
24saat;1;0
2ge;1;0
2PaVeL;1;0
2shar;1;0
2Tricky;1;0
2xxilill;1;0
30ml;1;0
3DBloke;1;0
3D-kreativ;1;0
3no;1;0
3P.;1;0
3rl;1;0
3xl;1;0
40a;1;0
444;1;0
"46501 zdfsfg dgdg ";1;0
4nt0n;1;0
4T2;1;0
50-50;1;0
50an6xy06r6n;1;0
52226777;1;0
528491;1;0
582;1;0
64th;1;0
64vision;1;0
66.;1;0
6cyu;1;0
7331;1;0
7655cjc;1;0
77041;1;0
7des;1;0
7UPROOTBEER;1;0
86me;1;0
8paw;1;0
9090;1;0
98.;1;0
99problems;1;0
A A;1;0
a b;1;0
A Desai;1;0
A developer guy;1;0
a MAS programmer;1;0
"A NON ";1;0
a rosa;1;0
A. Blanc;1;0
A. Romero;1;0
A.Achour;1;0
A.B.Khandekar;1;0
A.Bouchez;1;0
A.Bras;1;0
A.Lakshmi;1;0
A.P.;1;0
A.Y;1;0
A_foxy;1;0
A_SCHOOL_FOR_ANTS;1;0
a_w;1;0
A0down;1;0
a11dd;1;0
a12;1;0
a123;1;0
A13 Wes;1;0
A2D;1;0
A3F;1;0
a3li;1;0
a3ot;1;0
A3sthetix;1;0
aa.;1;0
aaa;1;0
aaaah;1;0
aackose;1;0
aadil ennia;1;0
Aadm;1;0
aafr;1;0
AAgarwal;1;0
aah;1;0
Aahna;1;0
Aakar;1;0
Aakash;1;0
aaltonen;1;0
aamir;1;0
Aamir Shahzad;1;0
Aanya;1;0
aargh;1;0
Aaron;1;0
Aaron Anderson;1;0
Aaron Bentley;1;0
Aaron Blakeley;1;0
Aaron Brady;1;0
Aaron Brinton;1;0
Aaron Couture;1;0
Aaron Dale;1;0
Aaron Eversole;1;0
Aaron Hardison;1;0
Aaron Holbrook;1;0
Aaron Ireland;1;0
Aaron J. Garcia;1;0
Aaron Jay;1;0
Aaron Levin;1;0
Aaron Marshall;1;0
Aaron Pedersen;1;0
Aaron Poley;1;0
Aaron Powell;1;0
Aaron Rawson;1;0
Aaron Rodrigue;1;0
Aaron Thompson;1;0
Aaron W. Sanford;1;0
Aaron wang;1;0
Aaron X;1;0
aaron.binprop.org;1;0
aaronbauman;1;0
AaronChen;1;0
Aaronh;1;0
AaronS;1;0
Aarron;1;0
aart;1;0
Aarti Grover;1;0
Aaru;1;0
Aaruna;1;0
aashima arora;1;0
Aashish;1;0
Aasim Afridi;1;0
Aatif Khan;1;0
aautsch;1;0
Aayesha;1;0
Aayush;1;0
Aayush Upadhyay;1;0
Aayushi Soni;1;0
ab.;1;0
ab.reds;1;0
abajan;1;0
abalint21;1;0
abanibi;1;0
Abavagada;1;0
abb;1;0
Abbas;1;0
Abbas Ali;1;0
Abbas Khan;1;0
Abbey Kingston;1;0
ABBY;1;0
abc;1;0
abc123;1;0
abcd;1;0
abcd_1234;1;0
abcd123;1;0
Abdalla;1;0
Abdallah Absi;1;0
Abdelrahman;1;0
Abdelrahman Asal;1;0
Abden;1;0
Abderrazak Bouadma;1;0
Abdó;1;0
Abdolelah;1;0
"abdollah nouri ";1;0
Abdul;1;0
Abdul Afroze;1;0
Abdul Gaffar;1;0
Abdul Hameed;1;0
Abdul Kabeer;1;0
Abdul Rahman Qaim;1;0
Abdul Raqeeb;1;0
Abdul Salama;1;0
Abdul Samad;1;0
abdulkareem_saad;1;0
Abdullah;1;0
Abdullah Dağlı;1;0
Abdullah Marouf;1;0
Abdullah Muhammad;1;0
Abdullah Waseer;1;0
Abdulrahman Ishaq;1;0
